date,000300.SH,399905.SZ,000906.SH,000016.SH
2011/2/28,3239.559,5095.208,3562.813,2021.849
2011/3/1,3254.893,5122.441,3580.264,2035.365
2011/3/2,3243.298,5108.74,3568.367,2040.892
2011/3/3,3221.718,5009.047,3532.24,2051.649
2011/3/4,3270.666,5067.621,3582.602,2080.143
2011/3/7,3334.51,5138.248,3647.201,2123.28
2011/3/8,3337.457,5165.735,3654.749,2123.781
2011/3/9,3338.858,5181.368,3658.822,2120.211
2011/3/10,3280.259,5143.413,3604.594,2071.724
2011/3/11,3247.376,5139.746,3577.486,2049.113
2011/3/14,3262.92,5190.037,3599.451,2053.52
2011/3/15,3203.961,5131.332,3541.022,2018.389
2011/3/16,3248.195,5199.358,3589.378,2048.93
2011/3/17,3197.1,5104.134,3530.384,2023.047
2011/3/18,3215.685,5126.934,3549.611,2034.485
2011/3/21,3207.11,5086.108,3535.028,2036.231
2011/3/22,3222.961,5085.812,3547.707,2054.753
2011/3/23,3264.926,5155.337,3594.523,2074.808
2011/3/24,3251.361,5169.264,3586.25,2064.165
2011/3/25,3294.484,5212.345,3629.014,2096.286
2011/3/28,3290.571,5199.552,3623.459,2103.043
2011/3/29,3257.979,5111.153,3580.618,2097.564
2011/3/30,3256.08,5064.545,3570.311,2101.44
2011/3/31,3223.288,5000.402,3531.879,2083.748
2011/4/1,3272.729,5065.076,3583.788,2126.451
2011/4/6,3311.067,5057.84,3613.228,2175.778
2011/4/7,3324.419,5089.751,3629.967,2174.401
2011/4/8,3353.358,5148.799,3664.342,2185.316
2011/4/11,3333.427,5107.137,3640.48,2175.964
2011/4/12,3326.771,5114.459,3636.513,2165.833
2011/4/13,3372.031,5165.207,3682.436,2199.229
2011/4/14,3353.56,5150.869,3664.896,2190.147
2011/4/15,3358.944,5162.415,3671.397,2201.086
2011/4/18,3359.438,5178.894,3674.901,2201.371
2011/4/19,3295.812,5116.144,3611.964,2151.957
2011/4/20,3295.758,5152.395,3618.756,2144.274
2011/4/21,3317.367,5188.111,3642.848,2160.699
2011/4/22,3299.942,5165.123,3624.517,2151.669
2011/4/25,3249.574,5054.768,3563.251,2127.462
2011/4/26,3230.96,4970.572,3532.422,2118.326
2011/4/27,3209.503,4913.497,3504.427,2113.012
2011/4/28,3161.776,4755.416,3436.288,2111.489
2011/4/29,3192.723,4836.866,3476.505,2113.871
2011/5/3,3211.132,4920.57,3507.077,2114.417
2011/5/4,3129.028,4814.781,3421.182,2056.699
2011/5/5,3126.117,4827.212,3421.189,2050.069
2011/5/6,3121.396,4849.969,3421.69,2037.748
